(x, y),Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
(1, 80),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 81),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 82),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 83),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 84),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 85),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 86),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 87),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 88),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 89),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 90),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 91),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 92),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 93),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 94),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 95),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 96),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 97),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 98),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 99),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 100),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 101),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 102),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 103),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 104),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 105),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 106),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 107),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 108),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 109),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 110),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 111),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 112),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 113),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 114),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 115),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 116),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 117),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
(1, 118),2020,06,CHOA CHU KANG,677,126,Premium Apartment,1999,2897
